job_name,robot_pos_x,robot_pos_y,init_robot_theta,goal_pos_x,goal_pos_y,clip_range,opt_epochs,minibatches,gamma,lam,ent_coef,vf_coef
0_hparam,0.0,0.0,0.0,3.5,0.0,0.1,10,4,0.99,0.95,0.0,0.5
job_name,robot_pos_x,robot_pos_y,init_robot_theta,goal_pos_x,goal_pos_y,clip_range,opt_epochs,minibatches,gamma,lam,ent_coef,vf_coef
0_hparam,0.0,0.0,0.0,3.5,0.0,0.1,10,4,0.99,0.95,0.0,0.5
job_name,robot_pos_x,robot_pos_y,init_robot_theta,goal_pos_x,goal_pos_y,clip_range,opt_epochs,minibatches,gamma,lam,ent_coef,vf_coef
0_hparam,0.0,0.0,0.0,3.5,0.0,0.1,10,4,0.99,0.95,0.0,0.5
1_hparam,0.0,0.0,0.0,3.5,0.0,0.1,10,4,0.99,0.95,0.01,0.5
2_hparam,0.0,0.0,0.0,3.5,0.0,0.1,10,15,0.99,0.95,0.0,0.5
3_hparam,0.0,0.0,0.0,3.5,0.0,0.1,10,15,0.99,0.95,0.01,0.5
4_hparam,0.0,0.0,0.0,3.5,0.0,0.1,20,4,0.99,0.95,0.0,0.5
5_hparam,0.0,0.0,0.0,3.5,0.0,0.1,20,4,0.99,0.95,0.01,0.5
6_hparam,0.0,0.0,0.0,3.5,0.0,0.1,20,15,0.99,0.95,0.0,0.5
7_hparam,0.0,0.0,0.0,3.5,0.0,0.1,20,15,0.99,0.95,0.01,0.5
8_hparam,0.0,0.0,0.0,3.5,0.0,0.1,30,4,0.99,0.95,0.0,0.5
9_hparam,0.0,0.0,0.0,3.5,0.0,0.1,30,4,0.99,0.95,0.01,0.5
10_hparam,0.0,0.0,0.0,3.5,0.0,0.1,30,15,0.99,0.95,0.0,0.5
11_hparam,0.0,0.0,0.0,3.5,0.0,0.1,30,15,0.99,0.95,0.01,0.5
12_hparam,0.0,0.0,0.0,3.5,0.0,0.2,10,4,0.99,0.95,0.0,0.5
13_hparam,0.0,0.0,0.0,3.5,0.0,0.2,10,4,0.99,0.95,0.01,0.5
14_hparam,0.0,0.0,0.0,3.5,0.0,0.2,10,15,0.99,0.95,0.0,0.5
15_hparam,0.0,0.0,0.0,3.5,0.0,0.2,10,15,0.99,0.95,0.01,0.5
16_hparam,0.0,0.0,0.0,3.5,0.0,0.2,20,4,0.99,0.95,0.0,0.5
17_hparam,0.0,0.0,0.0,3.5,0.0,0.2,20,4,0.99,0.95,0.01,0.5
18_hparam,0.0,0.0,0.0,3.5,0.0,0.2,20,15,0.99,0.95,0.0,0.5
19_hparam,0.0,0.0,0.0,3.5,0.0,0.2,20,15,0.99,0.95,0.01,0.5
20_hparam,0.0,0.0,0.0,3.5,0.0,0.2,30,4,0.99,0.95,0.0,0.5
21_hparam,0.0,0.0,0.0,3.5,0.0,0.2,30,4,0.99,0.95,0.01,0.5
22_hparam,0.0,0.0,0.0,3.5,0.0,0.2,30,15,0.99,0.95,0.0,0.5
23_hparam,0.0,0.0,0.0,3.5,0.0,0.2,30,15,0.99,0.95,0.01,0.5
24_hparam,0.0,0.0,0.0,3.5,1.0,0.1,10,4,0.99,0.95,0.0,0.5
25_hparam,0.0,0.0,0.0,3.5,1.0,0.1,10,4,0.99,0.95,0.01,0.5
26_hparam,0.0,0.0,0.0,3.5,1.0,0.1,10,15,0.99,0.95,0.0,0.5
27_hparam,0.0,0.0,0.0,3.5,1.0,0.1,10,15,0.99,0.95,0.01,0.5
28_hparam,0.0,0.0,0.0,3.5,1.0,0.1,20,4,0.99,0.95,0.0,0.5
29_hparam,0.0,0.0,0.0,3.5,1.0,0.1,20,4,0.99,0.95,0.01,0.5
30_hparam,0.0,0.0,0.0,3.5,1.0,0.1,20,15,0.99,0.95,0.0,0.5
31_hparam,0.0,0.0,0.0,3.5,1.0,0.1,20,15,0.99,0.95,0.01,0.5
32_hparam,0.0,0.0,0.0,3.5,1.0,0.1,30,4,0.99,0.95,0.0,0.5
33_hparam,0.0,0.0,0.0,3.5,1.0,0.1,30,4,0.99,0.95,0.01,0.5
34_hparam,0.0,0.0,0.0,3.5,1.0,0.1,30,15,0.99,0.95,0.0,0.5
35_hparam,0.0,0.0,0.0,3.5,1.0,0.1,30,15,0.99,0.95,0.01,0.5
36_hparam,0.0,0.0,0.0,3.5,1.0,0.2,10,4,0.99,0.95,0.0,0.5
37_hparam,0.0,0.0,0.0,3.5,1.0,0.2,10,4,0.99,0.95,0.01,0.5
38_hparam,0.0,0.0,0.0,3.5,1.0,0.2,10,15,0.99,0.95,0.0,0.5
39_hparam,0.0,0.0,0.0,3.5,1.0,0.2,10,15,0.99,0.95,0.01,0.5
40_hparam,0.0,0.0,0.0,3.5,1.0,0.2,20,4,0.99,0.95,0.0,0.5
41_hparam,0.0,0.0,0.0,3.5,1.0,0.2,20,4,0.99,0.95,0.01,0.5
42_hparam,0.0,0.0,0.0,3.5,1.0,0.2,20,15,0.99,0.95,0.0,0.5
43_hparam,0.0,0.0,0.0,3.5,1.0,0.2,20,15,0.99,0.95,0.01,0.5
44_hparam,0.0,0.0,0.0,3.5,1.0,0.2,30,4,0.99,0.95,0.0,0.5
45_hparam,0.0,0.0,0.0,3.5,1.0,0.2,30,4,0.99,0.95,0.01,0.5
46_hparam,0.0,0.0,0.0,3.5,1.0,0.2,30,15,0.99,0.95,0.0,0.5
47_hparam,0.0,0.0,0.0,3.5,1.0,0.2,30,15,0.99,0.95,0.01,0.5
